foe_ssm_time,foe_ssm_id,foe_ssm_x,foe_ssm_y
326,3300.0-3033.0,103.93130641439683,201.58069931501586
326,8222.0-3140.0,107.64336364149906,206.84920151602466
326,5093.0-3305.0,128.65888513645504,249.79791507737445
326,6303.0-1855.0,123.84234719285067,257.19693199142057
326,4467.0-2076.0,129.30154609292342,261.69142123228124
326,1179.0-1429.0,108.73665947301907,230.88162673039756
326,9867.0-2159.0,110.90292563845604,242.55452030895137
326,5742.0-2636.0,113.82084796720176,247.97240210983296
326,1977.0-829.0,113.61409227445353,254.10417000808403
328,3300.0-3033.0,103.3086586045998,198.71008563491193
328,8222.0-3140.0,107.04026085319505,203.974418007274
328,5093.0-3305.0,127.89588883043116,246.96137672359907
328,6303.0-1855.0,123.01717456502948,254.37785353743254
328,4467.0-2076.0,128.51061090827113,258.86254606198406
328,1179.0-1429.0,108.08699511475285,228.01700643844902
328,9867.0-2159.0,110.24338298350776,239.69215822812572
328,5742.0-2636.0,113.1747861063204,245.1069671921705
328,1977.0-829.0,112.94952417800133,251.2429705322308
330,3300.0-3033.0,102.68601079480278,195.839471954808
330,8222.0-3140.0,106.43715806489104,201.09963449852336
330,5093.0-3305.0,127.13289252440728,244.1248383698237
330,6303.0-1855.0,122.19200193720829,251.55877508344452
330,4467.0-2076.0,127.71967572361885,256.0336708916869
330,1179.0-1429.0,107.43733075648663,225.15238614650048
330,9867.0-2159.0,109.58384032855946,236.82979614730007
330,5742.0-2636.0,112.52872424543904,242.24153227450802
330,1977.0-829.0,112.28495608154913,248.38177105637757
332,3300.0-3033.0,102.06336298500575,192.96885827470408
332,8222.0-3140.0,105.83405527658702,198.2248509897727
332,5093.0-3305.0,126.3698962183834,241.2883000160483
332,6303.0-1855.0,121.3668293093871,248.7396966294565
332,4467.0-2076.0,126.92874053896657,253.2047957213897
332,1179.0-1429.0,106.78766639822041,222.28776585455194
332,9867.0-2159.0,108.92429767361116,233.96743406647442
332,5742.0-2636.0,111.88266238455768,239.37609735684555
332,1977.0-829.0,111.62038798509693,245.52057158052435
334,3300.0-3033.0,101.44071517520874,190.09824459460015
334,8222.0-3140.0,105.23095248828301,195.35006748102205
334,5093.0-3305.0,125.60689991235952,238.45176166227293
334,6303.0-1855.0,120.54165668156591,245.92061817546846
334,4467.0-2076.0,126.13780535431428,250.37592055109252
334,1179.0-1429.0,106.13800203995419,219.4231455626034
334,9867.0-2159.0,108.26475501866288,231.10507198564878
