foe_sam_time,foe_sam_id,foe_sam_x,foe_sam_y
118,7879.0-4282.0,67.67683206487109,335.3591675843607
118,5934.0-1830.0,167.1618551676709,359.66885517868167
118,7278.0-3462.0,119.93329228073546,334.0855694637837
118,3231.0-4357.0,214.32770953400328,373.63231452929904
118,4724.0-4284.0,154.2796238740999,346.2853610779311
118,2156.0-3675.0,170.15884243500253,396.5002066102413
118,6647.0-1667.0,149.56863033897767,365.4135189721556
118,3656.0-4008.0,184.15401599792403,412.24115340498133
118,5181.0-1973.0,104.32243522376436,399.60317717107625
118,7827.0-3507.0,164.1014438381236,436.66644974084346
118,310.0-2884.0,116.67640941339674,414.00472817332
118,6228.0-2468.0,157.21852207558175,459.99950714047236
118,8405.0-3560.0,173.99275025279744,472.21921151098144
118,4439.0-155.0,187.36465764965553,486.7211508598754
118,8503.0-4757.0,140.90119764864454,463.88814898175394
118,6830.0-381.0,161.8040414504261,475.4657027659785
118,4101.0-210.0,170.434497685037,492.48274218804704
120,7616.0-4572.0,64.72404321896715,249.7875663721618
120,2018.0-3491.0,114.17369989001257,269.8720768183696
120,9522.0-4450.0,135.92179466558673,282.4465664418485
120,9936.0-4094.0,62.97286487183229,334.47290175403
120,5451.0-2256.0,120.35138631451606,325.81880508843426
120,6862.0-1202.0,83.3255855266154,297.70860168227887
120,8906.0-4866.0,178.6307653501483,329.87332845921475
120,7879.0-4282.0,63.28965330385613,327.2961916794503
120,5934.0-1830.0,165.2678917574171,350.6871058766311
120,7278.0-3462.0,117.50994913306344,325.23196421434454
120,3231.0-4357.0,214.5902345232975,364.4568037231225
120,4724.0-4284.0,153.3173770313144,337.15667010179357
120,2156.0-3675.0,167.98292427567029,387.5825668951511
120,6647.0-1667.0,148.22231647280427,356.33352134561324
120,3656.0-4008.0,182.56529644417884,403.20041847336137
120,5181.0-1973.0,99.96258747960032,391.52539000057135
120,7827.0-3507.0,160.8357120827959,428.0877602123368
120,310.0-2884.0,112.55631591930518,405.80206107510065
120,6228.0-2468.0,152.81424491791557,451.94585823809734
120,8405.0-3560.0,170.3602245258332,463.7892841822787
120,4439.0-155.0,184.46446897119947,478.0120852639793
120,8503.0-4757.0,136.61498786328167,455.77104829246065
120,6830.0-381.0,159.5266158368576,466.57344486941884
120,4101.0-210.0,169.10654352326455,483.40004128641556
120,1742.0-2827.0,174.52643710576066,519.7961850418194
122,7616.0-4572.0,60.87626240571749,241.4536896789623
122,2018.0-3491.0,109.89871030673842,261.7490612461105
122,9522.0-4450.0,130.93010651657482,274.7431926778877
122,9936.0-4094.0,57.96901291814852,326.7774236304901
122,5451.0-2256.0,117.09281798973791,317.23739201149766
122,6862.0-1202.0,84.01257425016995,288.5550797143162
122,8906.0-4866.0,177.4327603386186,320.772575637793
122,7879.0-4282.0,58.90247454284116,319.23321577454
122,5934.0-1830.0,163.3739283471633,341.70535657458055
122,7278.0-3462.0,115.08660598539143,316.3783589649054
122,3231.0-4357.0,214.85275951259172,355.281292916946
122,4724.0-4284.0,152.35513018852893,328.02797912565603
122,2156.0-3675.0,165.80700611633804,378.6649271800609
122,6647.0-1667.0,146.87600260663083,347.25352371907087
122,3656.0-4008.0,180.97657689043368,394.1596835417414
122,5181.0-1973.0,95.60273973543627,383.44760283006644
122,7827.0-3507.0,157.5699803274682,419.5090706838301
122,310.0-2884.0,108.43622242521361,397.5993939768813
122,6228.0-2468.0,148.4099677602494,443.8922093357223
122,8405.0-3560.0,166.72769879886897,455.359356853576
122,4439.0-155.0,181.5642802927434,469.3030196680832
122,8503.0-4757.0,132.3287780779188,447.65394760316735
122,6830.0-381.0,157.24919022328908,457.68118697285917
122,4101.0-210.0,167.7785893614921,474.3173403847841
122,1742.0-2827.0,172.7511214788152,510.790232990593
124,7616.0-4572.0,57.02848159246783,233.11981298576282
124,2018.0-3491.0,105.55171736924952,253.66434910988156
124,9936.0-4094.0,60.53602978460807,317.9644024497838
124,5451.0-2256.0,113.83424966495976,308.65597893456106
124,6862.0-1202.0,84.84575206699638,279.4137049462731
124,8906.0-4866.0,176.23475532708892,311.6718228163713
124,7879.0-4282.0,61.56664050885364,310.4490745171485
124,5934.0-1830.0,161.4799649369095,332.72360727253
124,7278.0-3462.0,112.66326283771942,307.5247537154662
124,3231.0-4357.0,215.11528450188595,346.10578211076944
124,4724.0-4284.0,151.39288334574346,318.8992881495185
124,2156.0-3675.0,163.6310879570058,369.74728746497067
124,6647.0-1667.0,145.52968874045743,338.1735260925285
124,3656.0-4008.0,179.38785733668848,385.11894861012144
124,5181.0-1973.0,91.24289199127224,375.36981565956154
124,7827.0-3507.0,154.3042485721405,410.9303811553234
124,310.0-2884.0,104.31612893112205,389.3967268786619
124,6228.0-2468.0,144.00569060258323,435.8385604333473
124,8405.0-3560.0,163.09517307190472,446.9294295248733
124,4439.0-155.0,178.66409161428734,460.5939540721871
124,8503.0-4757.0,128.04256829255593,439.53684691387406
124,6830.0-381.0,154.97176460972057,448.7889290762995
124,4101.0-210.0,166.45063519971964,465.2346394831526
124,1742.0-2827.0,170.97580585186975,501.78428093936657
124,3632.0-3654.0,207.32284078640882,547.7601635420667
126,7616.0-4572.0,53.180700779218164,224.78593629256335
126,2018.0-3491.0,101.11253545412228,245.62988697177468
126,5451.0-2256.0,110.5756813401816,300.07456585762446
126,6862.0-1202.0,85.85849390297271,270.29047789122683
126,8906.0-4866.0,175.03675031555926,302.57106999494954
126,5934.0-1830.0,159.5860015266557,323.74185797047943
126,7278.0-3462.0,110.60516617228146,298.5791874371371
126,3231.0-4357.0,215.37780949118016,336.9302713045929
126,4724.0-4284.0,150.43063650295795,309.77059717338096
126,2156.0-3675.0,161.45516979767356,360.82964774988045
126,6647.0-1667.0,144.183374874284,329.09352846598614
126,3656.0-4008.0,177.79913778294332,376.07821367850147
126,5181.0-1973.0,86.8830442471082,367.29202848905663
126,7827.0-3507.0,151.03851681681277,402.3516916268167
126,310.0-2884.0,100.19603543703049,381.19405978044256
126,6228.0-2468.0,139.60141344491706,427.7849115309723
126,8405.0-3560.0,159.46264734494048,438.49950219617057
126,4439.0-155.0,175.76390293583128,451.884888476291
126,8503.0-4757.0,123.75635850719306,431.41974622458076
126,6830.0-381.0,152.69433899615206,439.8966711797398
126,4101.0-210.0,165.1226810379472,456.1519385815211
126,1742.0-2827.0,169.2004902249243,492.77832888814015
126,3632.0-3654.0,202.83871672119247,539.7506973119105
128,7616.0-4572.0,49.3329199659685,216.45205959936385
128,2018.0-3491.0,96.54766071570022,237.666166952413
128,5451.0-2256.0,107.31711301540345,291.49315278068786
128,6862.0-1202.0,87.10093668935642,261.19568521372014
128,8906.0-4866.0,173.83874530402957,293.4703171735278
128,5934.0-1830.0,157.69203811640193,314.76010866842887
128,7278.0-3462.0,108.58532760337847,289.6249052168897
128,3231.0-4357.0,215.6403344804744,327.7547604984164
128,4724.0-4284.0,149.46838966017248,300.64190619724343
128,2156.0-3675.0,159.27925163834132,351.91200803479023
128,6647.0-1667.0,142.8370610081106,320.0135308394438
128,3656.0-4008.0,176.21041822919813,367.0374787468815
128,5181.0-1973.0,82.52319650294416,359.21424131855173
128,7827.0-3507.0,147.77278506148508,393.77300209831003
128,310.0-2884.0,96.07594194293893,372.9913926822232
128,6228.0-2468.0,135.19713628725088,419.7312626285973
128,8405.0-3560.0,155.83012161797626,430.06957486746785
128,4439.0-155.0,172.86371425737525,443.1758228803949
128,8503.0-4757.0,119.47014872183018,423.30264553528747
128,6830.0-381.0,150.41691338258354,431.00441328318016
128,4101.0-210.0,163.79472687617474,447.0692376798896
128,1742.0-2827.0,167.42517459797884,483.77237683691374
128,3632.0-3654.0,198.35459265597612,531.7412310817542
128,4756.0-1722.0,211.4725031754465,546.4840635132554
130,7616.0-4572.0,58.432475973825845,217.6591214801857
130,2018.0-3491.0,91.79214832363358,229.81479638332337
130,5451.0-2256.0,104.0585446906253,282.91173970375127
130,6862.0-1202.0,88.65562523053174,252.1490360293976
130,8906.0-4866.0,172.6407402924999,284.36956435210607
130,5934.0-1830.0,155.79807470614813,305.7783593663783
130,7278.0-3462.0,106.61213299565428,280.66022892801493
130,3231.0-4357.0,215.9028594697686,318.57924969223984
130,4724.0-4284.0,148.50614281738697,291.5132152211059
130,2156.0-3675.0,157.10333347900908,342.9943683197
130,6647.0-1667.0,141.49074714193716,310.9335332129014
130,3656.0-4008.0,171.66647738019662,359.0617957363149
130,5181.0-1973.0,78.16334875878013,351.1364541480468
130,7827.0-3507.0,144.50705330615736,385.19431256980334
130,310.0-2884.0,91.95584844884735,364.7887255840038
130,6228.0-2468.0,130.7928591295847,411.67761372622226
130,8405.0-3560.0,152.197595891012,421.63964753876513
130,4439.0-155.0,169.9635255789192,434.4667572844988
