fri_ssm_time,fri_ssm_id,fri_ssm_x,fri_ssm_y
276,5992.0-1456.0,72.36777043343051,121.13804369684478
276,1514.0-1676.0,70.11869990523348,115.69680566261992
276,6576.0-367.0,71.3455550298746,109.01919294911372
278,7081.0-3984.0,158.97229579791983,361.0882067787689
278,5578.0-4829.0,133.53064052742485,363.8789969387537
278,1472.0-148.0,110.52143566164989,260.1470722859636
278,5939.0-570.0,113.46749503169785,240.42887255633778
278,9508.0-1629.0,95.551427899983,203.20828270302263
278,1936.0-2289.0,89.45025879321787,161.73123543416125
278,9204.0-4395.0,82.43585424088583,158.03774261218464
278,2526.0-1740.0,81.3666254520916,152.19918502438804
278,1826.0-4509.0,83.9829871951452,144.98938018092926
278,7065.0-3633.0,80.10421803808615,133.9203136796661
278,9001.0-3896.0,73.98587869872239,129.88874875095576
278,5992.0-1456.0,73.31843420926295,123.91731546850814
278,1514.0-1676.0,71.04026117521502,118.48586249623139
278,6576.0-367.0,72.41483040608075,111.75502250617387
280,7081.0-3984.0,160.06135404338448,363.8162216858818
280,5578.0-4829.0,134.40185665783486,366.6841877788853
280,1472.0-148.0,111.4428351558783,262.93618256837993
280,5939.0-570.0,114.50532221375063,243.1767859348192
280,9508.0-1629.0,96.48867134920245,205.9921088312749
280,1936.0-2289.0,90.52372254922551,164.46542430108008
280,9204.0-4395.0,83.36679336670865,160.8236833042054
280,2526.0-1740.0,82.31313045487073,154.97987585135152
280,1826.0-4509.0,85.06217851362042,147.72131343296388
280,7065.0-3633.0,81.18023710028169,136.6534979349326
280,9001.0-3896.0,74.89921657394449,132.68050932828498
280,5992.0-1456.0,74.26909798509539,126.6965872401715
280,1514.0-1676.0,71.96182244519656,121.27491932984286
280,6576.0-367.0,73.4841057822869,114.49085206323403
282,7081.0-3984.0,161.15041228884914,366.54423659299476
282,5578.0-4829.0,135.27307278824486,369.4893786190169
282,1472.0-148.0,112.36423465010671,265.7252928507963
282,5939.0-570.0,115.54314939580341,245.92469931330064
282,9508.0-1629.0,97.4259147984219,208.77593495952715
282,1936.0-2289.0,91.59718630523314,167.1996131679989
282,9204.0-4395.0,84.29773249253147,163.60962399622613
282,2526.0-1740.0,83.25963545764986,157.760566678315
282,1826.0-4509.0,86.14136983209565,150.4532466849985
282,7065.0-3633.0,82.25625616247723,139.3866821901991
282,9001.0-3896.0,75.81255444916658,135.4722699056142
282,5992.0-1456.0,75.21976176092782,129.47585901183487
282,1514.0-1676.0,72.8833837151781,124.06397616345433
282,6576.0-367.0,74.55338115849305,117.22668162029419
284,7081.0-3984.0,162.2394705343138,369.2722515001077
284,5578.0-4829.0,136.14428891865487,372.29456945914853
284,1472.0-148.0,113.28563414433512,268.5144031332126
284,5939.0-570.0,116.58097657785619,248.67261269178206
284,9508.0-1629.0,98.36315824764135,211.5597610877794
284,1936.0-2289.0,92.67065006124076,169.93380203491773
284,9204.0-4395.0,85.22867161835428,166.39556468824688
284,2526.0-1740.0,84.206140460429,160.54125750527848
284,1826.0-4509.0,87.22056115057087,153.18517993703313
284,7065.0-3633.0,83.33227522467277,142.11986644546562
284,9001.0-3896.0,76.72589232438868,138.26403048294344
284,5992.0-1456.0,76.17042553676026,132.25513078349823
284,1514.0-1676.0,73.80494498515964,126.8530329970658
284,6576.0-367.0,75.6226565346992,119.96251117735434
286,7081.0-3984.0,163.32852877977845,372.00026640722064
286,5578.0-4829.0,137.01550504906487,375.09976029928015
286,1472.0-148.0,114.20703363856353,271.30351341562897
286,5939.0-570.0,117.61880375990897,251.4205260702635
286,9508.0-1629.0,99.3004016968608,214.34358721603166
286,1936.0-2289.0,93.7441138172484,172.66799090183656
286,9204.0-4395.0,86.1596107441771,169.18150538026762
286,2526.0-1740.0,85.15264546320813,163.32194833224196
286,1826.0-4509.0,88.2997524690461,155.91711318906775
286,7065.0-3633.0,84.40829428686831,144.85305070073213
286,9001.0-3896.0,77.63923019961078,141.05579106027267
286,5992.0-1456.0,77.1210893125927,135.0344025551616
286,1514.0-1676.0,74.72650625514117,129.64208983067726
286,6576.0-367.0,76.69193191090535,122.6983407344145
288,7081.0-3984.0,164.4175870252431,374.72828131433357
288,5578.0-4829.0,137.88672117947488,377.90495113941176
288,1472.0-148.0,115.12843313279194,274.0926236980453
288,5939.0-570.0,118.65663094196175,254.16843944874492
288,9508.0-1629.0,100.23764514608027,217.12741334428392
288,1936.0-2289.0,94.81757757325605,175.4021797687554
288,9204.0-4395.0,87.09054986999992,171.96744607228837
288,2526.0-1740.0,86.09915046598726,166.10263915920544
288,1826.0-4509.0,89.37894378752132,158.64904644110237
288,7065.0-3633.0,85.48431334906385,147.58623495599863
288,9001.0-3896.0,78.55256807483288,143.8475516376019
288,5992.0-1456.0,78.07175308842514,137.81367432682495
288,1514.0-1676.0,75.64806752512271,132.43114666428872
288,6576.0-367.0,77.7612072871115,125.43417029147466
290,7081.0-3984.0,165.50664527070776,377.4562962214465
290,5578.0-4829.0,138.75793730988488,380.7101419795434
290,1472.0-148.0,116.04983262702035,276.88173398046166
290,5939.0-570.0,119.69445812401453,256.9163528272263
290,9508.0-1629.0,101.17488859529972,219.91123947253618
290,1936.0-2289.0,95.89104132926369,178.13636863567422
290,9204.0-4395.0,88.02148899582274,174.7533867643091
290,2526.0-1740.0,87.0456554687664,168.88332998616892
290,1826.0-4509.0,90.45813510599655,161.380979693137
290,7065.0-3633.0,86.5603324112594,150.31941921126514
290,9001.0-3896.0,79.46590595005497,146.63931221493112
